Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
1.29E+07,caps hf  0 0 0 40,-5.33E-01,1.60E-01,1.37E-01,7.81E-01,1.36E-01,7.82E-01,-5.46E-01,3.81E-02
1.29E+07,caps hf  0 0 0 41,-5.33E-01,1.60E-01,1.38E-01,7.80E-01,1.37E-01,7.82E-01,-5.46E-01,3.97E-02
1.29E+07,caps hf  0 0 0 42,-5.33E-01,1.59E-01,1.38E-01,7.80E-01,1.38E-01,7.81E-01,-5.45E-01,4.13E-02
1.29E+07,caps hf  0 0 0 43,-5.33E-01,1.59E-01,1.39E-01,7.80E-01,1.39E-01,7.81E-01,-5.45E-01,4.28E-02
1.29E+07,caps hf  0 0 0 44,-5.33E-01,1.58E-01,1.40E-01,7.80E-01,1.40E-01,7.81E-01,-5.45E-01,4.44E-02
1.29E+07,caps hf  0 0 0 45,-5.33E-01,1.58E-01,1.41E-01,7.80E-01,1.41E-01,7.81E-01,-5.44E-01,4.59E-02
1.29E+07,caps hf  0 0 0 46,-5.33E-01,1.57E-01,1.42E-01,7.80E-01,1.41E-01,7.81E-01,-5.44E-01,4.75E-02
1.29E+07,caps hf  0 0 0 47,-5.33E-01,1.57E-01,1.43E-01,7.80E-01,1.42E-01,7.81E-01,-5.44E-01,4.90E-02
1.29E+07,caps hf  0 0 0 48,-5.33E-01,1.56E-01,1.48E-01,7.80E-01,1.46E-01,7.80E-01,-5.42E-01,5.76E-02
1.29E+07,caps hf  0 0 0 49,-5.33E-01,1.55E-01,1.48E-01,7.80E-01,1.47E-01,7.80E-01,-5.42E-01,5.92E-02
1.29E+07,caps hf  0 0 0 50,-5.33E-01,1.55E-01,1.49E-01,7.80E-01,1.48E-01,7.80E-01,-5.41E-01,6.07E-02
1.29E+07,caps hf  0 0 0 51,-5.33E-01,1.55E-01,1.50E-01,7.80E-01,1.49E-01,7.80E-01,-5.41E-01,6.22E-02
1.29E+07,caps hf  0 0 0 52,-5.33E-01,1.54E-01,1.51E-01,7.80E-01,1.49E-01,7.80E-01,-5.41E-01,6.37E-02
1.29E+07,caps hf  0 0 0 53,-5.33E-01,1.54E-01,1.52E-01,7.80E-01,1.50E-01,7.80E-01,-5.40E-01,6.52E-02
1.29E+07,caps hf  0 0 0 54,-5.33E-01,1.53E-01,1.52E-01,7.80E-01,1.51E-01,7.80E-01,-5.40E-01,6.68E-02
1.29E+07,caps hf  0 0 0 55,-5.33E-01,1.53E-01,1.53E-01,7.80E-01,1.52E-01,7.79E-01,-5.40E-01,6.83E-02
1.29E+07,caps hf  0 0 0 56,-5.33E-01,1.52E-01,1.54E-01,7.80E-01,1.53E-01,7.79E-01,-5.39E-01,6.98E-02
1.29E+07,caps hf  0 0 0 57,-5.33E-01,1.52E-01,1.55E-01,7.80E-01,1.54E-01,7.79E-01,-5.39E-01,7.13E-02
1.29E+07,caps hf  0 0 0 58,-5.33E-01,1.52E-01,1.55E-01,7.80E-01,1.55E-01,7.79E-01,-5.38E-01,7.28E-02
1.29E+07,caps hf  0 0 0 59,-5.33E-01,1.51E-01,1.56E-01,7.80E-01,1.56E-01,7.79E-01,-5.38E-01,7.44E-02
1.29E+07,caps hf  0 0 0 60,-5.33E-01,1.51E-01,1.57E-01,7.80E-01,1.56E-01,7.79E-01,-5.38E-01,7.59E-02
1.29E+07,caps hf  0 0 0 61,-5.33E-01,1.50E-01,1.58E-01,7.80E-01,1.57E-01,7.79E-01,-5.37E-01,7.74E-02
1.29E+07,caps hf  0 0 0 62,-5.33E-01,1.50E-01,1.58E-01,7.80E-01,1.58E-01,7.79E-01,-5.37E-01,7.89E-02
1.29E+07,caps hf  0 0 0 63,-5.33E-01,1.49E-01,1.59E-01,7.80E-01,1.59E-01,7.79E-01,-5.37E-01,8.04E-02
1.29E+07,caps hf  0 0 1 0,-5.33E-01,1.47E-01,1.62E-01,7.79E-01,1.62E-01,7.79E-01,-5.36E-01,8.72E-02
1.29E+07,caps hf  0 0 1 1,-5.33E-01,1.46E-01,1.63E-01,7.79E-01,1.63E-01,7.79E-01,-5.36E-01,8.86E-02
1.29E+07,caps hf  0 0 1 2,-5.33E-01,1.46E-01,1.64E-01,7.79E-01,1.64E-01,7.79E-01,-5.35E-01,9.00E-02
1.29E+07,caps hf  0 0 1 3,-5.33E-01,1.45E-01,1.65E-01,7.79E-01,1.65E-01,7.79E-01,-5.35E-01,9.13E-02
1.29E+07,caps hf  0 0 1 4,-5.33E-01,1.45E-01,1.65E-01,7.79E-01,1.65E-01,7.79E-01,-5.34E-01,9.27E-02
1.29E+07,caps hf  0 0 1 5,-5.33E-01,1.44E-01,1.66E-01,7.78E-01,1.66E-01,7.78E-01,-5.34E-01,9.41E-02
1.29E+07,caps hf  0 0 1 6,-5.33E-01,1.44E-01,1.67E-01,7.78E-01,1.67E-01,7.78E-01,-5.34E-01,9.55E-02
