Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
12.9e6,caps hf ps1 1 47 2 15,-6.24885172490E-001,+4.87987460459E-001,+4.00265353882E-001,+3.76258775476E-001,+4.00838317789E-001,+3.76303932173E-001,-4.07693056836E-001,+6.65487621430E-001,
12.9e6,caps hf ps1 1 47 2 16,-6.25951888772E-001,+4.87796281929E-001,+4.02042448098E-001,+3.74372012893E-001,+4.02466242084E-001,+3.74261907549E-001,-4.00668322633E-001,+6.70612900718E-001,
12.9e6,caps hf ps1 1 47 2 31,-6.28193741610E-001,+4.87012029498E-001,+4.06470958958E-001,+3.66763713615E-001,+4.06850822266E-001,+3.66512506716E-001,-3.77065549625E-001,+6.85401448575E-001,
12.9e6,caps hf ps1 1 47 2 32,-6.29727353610E-001,+4.85901088499E-001,+4.08896016522E-001,+3.62650059551E-001,+4.08999310704E-001,+3.62837161340E-001,-3.65993212232E-001,+6.92264484227E-001,
12.9e6,caps hf ps1 1 47 2 47,-6.32483285324E-001,+4.85133652632E-001,+4.12963521445E-001,+3.55351187301E-001,+4.12903836406E-001,+3.55604338641E-001,-3.42478669683E-001,+7.05167714519E-001,
12.9e6,caps hf ps1 1 47 2 48,-6.32209733600E-001,+4.84383523730E-001,+4.13453749274E-001,+3.52785474596E-001,+4.14263706769E-001,+3.53417614435E-001,-3.36194606851E-001,+7.09497494227E-001,
12.9e6,caps hf ps1 1 47 2 63,-6.35574348139E-001,+4.83892593086E-001,+4.17318117669E-001,+3.46083742164E-001,+4.17474776223E-001,+3.46193389594E-001,-3.13057566519E-001,+7.21131580892E-001,
12.9e6,caps hf ps1 1 47 3 0,-6.35216473169E-001,+4.83207933607E-001,+4.18357171843E-001,+3.42678081748E-001,+4.18987824836E-001,+3.43047522361E-001,-3.04762957164E-001,+7.26086721261E-001,
12.9e6,caps hf ps1 1 47 3 15,-6.38441994910E-001,+4.82358620081E-001,+4.21370867907E-001,+3.36169902996E-001,+4.21744438734E-001,+3.36527639135E-001,-2.83065522439E-001,+7.36061168194E-001,
12.9e6,caps hf ps1 1 47 3 16,-6.38803587280E-001,+4.82031899297E-001,+4.22725024480E-001,+3.33987651746E-001,+4.22955205932E-001,+3.34176195107E-001,-2.76604794874E-001,+7.39310257054E-001,
12.9e6,caps hf ps1 1 47 3 31,-6.40218078358E-001,+4.81630068558E-001,+4.25155163798E-001,+3.26752735754E-001,+4.25349073245E-001,+3.27371699176E-001,-2.55202950286E-001,+7.48268063915E-001,
12.9e6,caps hf ps1 1 47 3 32,-6.42947344440E-001,+4.81371231248E-001,+4.26611826891E-001,+3.23982710098E-001,+4.26442917708E-001,+3.24122811230E-001,-2.44275247922E-001,+7.52457454385E-001,
12.9e6,caps hf ps1 1 47 3 47,-6.44359416387E-001,+4.80260406770E-001,+4.28884338184E-001,+3.16976548310E-001,+4.28966499518E-001,+3.17548264499E-001,-2.23649972671E-001,+7.60134494807E-001,
12.9e6,caps hf ps1 1 47 3 48,-6.45158273761E-001,+4.80338868129E-001,+4.29472823393E-001,+3.15246967385E-001,+4.30078995153E-001,+3.15493810742E-001,-2.17485836335E-001,+7.63493287135E-001,
12.9e6,caps hf ps1 1 47 3 63,-6.47512954357E-001,+4.79838192937E-001,+4.31609265180E-001,+3.09072371162E-001,+4.31681000366E-001,+3.09287233978E-001,-1.97795488665E-001,+7.69557299939E-001,
12.9e6,caps hf ps1 1 47 4 0,-6.47504947814E-001,+4.80307588255E-001,+4.32430659108E-001,+3.08203972604E-001,+4.32566984390E-001,+3.08051681081E-001,-1.95777207738E-001,+7.71374440006E-001,
12.9e6,caps hf ps1 1 47 4 15,-6.48728666008E-001,+4.78750011908E-001,+4.33141224830E-001,+3.01966225191E-001,+4.34268569142E-001,+3.02070413600E-001,-1.76640072187E-001,+7.76969701209E-001,
12.9e6,caps hf ps1 1 47 4 16,-6.50116924691E-001,+4.79022480725E-001,+4.33725468286E-001,+3.00267057693E-001,+4.34382338809E-001,+3.00210978060E-001,-1.70675205562E-001,+7.79273027700E-001,
12.9e6,caps hf ps1 1 47 4 31,-6.50940726007E-001,+4.79003184405E-001,+4.35460125067E-001,+2.94482356885E-001,+4.35563464353E-001,+2.94064216322E-001,-1.52064091379E-001,+7.83946287798E-001,
12.9e6,caps hf ps1 1 47 4 32,-6.52678297315E-001,+4.77849239924E-001,+4.35541036223E-001,+2.91231344202E-001,+4.36536803077E-001,+2.91605424019E-001,-1.43528540158E-001,+7.87155868032E-001,
12.9e6,caps hf ps1 1 47 4 47,-6.54320524093E-001,+4.78927158146E-001,+4.37373198278E-001,+2.85258408770E-001,+4.37531852776E-001,+2.85241354340E-001,-1.24214529882E-001,+7.90947576913E-001,
12.9e6,caps hf ps1 1 47 4 48,-6.55150065381E-001,+4.78310824546E-001,+4.38008049049E-001,+2.83739339049E-001,+4.38384243202E-001,+2.83664381831E-001,-1.19104665261E-001,+7.93230041463E-001,
12.9e6,caps hf ps1 1 47 4 63,-6.56924064547E-001,+4.78204205197E-001,+4.39402051007E-001,+2.77527702947E-001,+4.39594276735E-001,+2.78127368372E-001,-1.01308030963E-001,+7.96979972887E-001,
12.9e6,caps hf ps1 1 47 5 0,-6.57235063920E-001,+4.78012320403E-001,+4.39454219320E-001,+2.77360530436E-001,+4.39586692579E-001,+2.77196578158E-001,-9.91096455989E-002,+7.98098287614E-001,
12.9e6,caps hf ps1 1 47 5 15,-6.58423946403E-001,+4.78374833199E-001,+4.40539426013E-001,+2.71282921006E-001,+4.40256402870E-001,+2.71443170046E-001,-8.15686205049E-002,+8.01593703966E-001,
12.9e6,caps hf ps1 1 47 5 16,-6.59295136963E-001,+4.77852406699E-001,+4.40664508284E-001,+2.70008072179E-001,+4.41123739248E-001,+2.70125934193E-001,-7.65536968683E-002,+8.02000811716E-001,
12.9e6,caps hf ps1 1 47 5 31,-6.61095663663E-001,+4.77656579255E-001,+4.41290920542E-001,+2.64744228312E-001,+4.41670280851E-001,+2.64956006303E-001,-6.01864305870E-002,+8.05235388589E-001,
12.9e6,caps hf ps1 1 47 5 32,-6.62625126008E-001,+4.78085096406E-001,+4.41589809899E-001,+2.62270148908E-001,+4.41861659583E-001,+2.62690570308E-001,-5.33316258568E-002,+8.06411169241E-001,
12.9e6,caps hf ps1 1 47 5 47,-6.63357729931E-001,+4.77204423490E-001,+4.42050976140E-001,+2.57423093079E-001,+4.42626418922E-001,+2.57298096368E-001,-3.57026538108E-002,+8.09329918593E-001,
12.9e6,caps hf ps1 1 47 5 48,-6.63746099023E-001,+4.77488379248E-001,+4.42466429221E-001,+2.55821486461E-001,+4.42515831010E-001,+2.55701713734E-001,-3.19479998302E-002,+8.08826477061E-001,
12.9e6,caps hf ps1 1 47 5 63,-6.65915571149E-001,+4.77778857560E-001,+4.42875429103E-001,+2.51303044213E-001,+4.42558693654E-001,+2.51248253908E-001,-1.68531507792E-002,+8.10444697406E-001,
12.9e6,caps hf ps1 1 47 6 0,-6.65389745282E-001,+4.77141368760E-001,+4.42404741531E-001,+2.52388891878E-001,+4.43202797644E-001,+2.51396378861E-001,-1.85360385132E-002,+8.12479682382E-001,
12.9e6,caps hf ps1 1 47 6 15,-6.66980231552E-001,+4.77038821110E-001,+4.43157427300E-001,+2.47271809042E-001,+4.43495517521E-001,+2.46841149128E-001,-4.15700218549E-003,+8.12815611220E-001,
12.9e6,caps hf ps1 1 47 6 16,-6.67177283899E-001,+4.77376933976E-001,+4.43407496218E-001,+2.45336246913E-001,+4.43507230014E-001,+2.45632148096E-001,+3.44209715581E-004,+8.13354387003E-001,
12.9e6,caps hf ps1 1 47 6 31,-6.68056230926E-001,+4.77897632367E-001,+4.43775764318E-001,+2.40972008135E-001,+4.43713556969E-001,+2.40839016412E-001,+1.46016814515E-002,+8.15009426236E-001,
12.9e6,caps hf ps1 1 47 6 32,-6.69341871222E-001,+4.78127989947E-001,+4.43650127699E-001,+2.38877980069E-001,+4.43683999828E-001,+2.38586574017E-001,+2.15440262690E-002,+8.14705656178E-001,
12.9e6,caps hf ps1 1 47 6 47,-6.70367714200E-001,+4.77780514925E-001,+4.44150556997E-001,+2.34318250328E-001,+4.44071627940E-001,+2.34498132489E-001,+3.48695355833E-002,+8.16166696715E-001,
12.9e6,caps hf ps1 1 47 6 48,-6.71577636032E-001,+4.77518942214E-001,+4.43639006696E-001,+2.33074505678E-001,+4.43948865347E-001,+2.33126303470E-001,+3.94192140925E-002,+8.16256356293E-001,
12.9e6,caps hf ps1 1 47 6 63,-6.71682087136E-001,+4.77435054174E-001,+4.43534797366E-001,+2.28844307859E-001,+4.43981339090E-001,+2.28806233180E-001,+5.18885794520E-002,+8.16876344769E-001,
12.9e6,caps hf ps1 1 48 0 0,-5.95008748393E-001,+5.16860425656E-001,+3.08107547887E-001,+4.66218009954E-001,+3.07572636019E-001,+4.66403609582E-001,-6.82882035077E-001,+3.63695682494E-001,
12.9e6,caps hf ps1 1 48 0 15,-5.97049693428E-001,+5.13154452273E-001,+3.18496888156E-001,+4.59071147445E-001,+3.18819280768E-001,+4.59359482116E-001,-6.61839315020E-001,+3.98704296530E-001,
12.9e6,caps hf ps1 1 48 0 16,-5.97451660244E-001,+5.12390749880E-001,+3.22036534783E-001,+4.56858010993E-001,+3.21851265289E-001,+4.57335370253E-001,-6.56815461074E-001,+4.09274831715E-001,
12.9e6,caps hf ps1 1 48 0 31,-6.00411944882E-001,+5.09175893694E-001,+3.32344718086E-001,+4.50270653565E-001,+3.32073606280E-001,+4.50176284104E-001,-6.34414312983E-001,+4.42221023940E-001,
12.9e6,caps hf ps1 1 48 0 32,-6.00876087217E-001,+5.07981895097E-001,+3.36853062152E-001,+4.45961190832E-001,+3.36180268498E-001,+4.46560356739E-001,-6.23043338606E-001,+4.56839307040E-001,
12.9e6,caps hf ps1 1 48 0 47,-6.04046850177E-001,+5.05242785669E-001,+3.45663084632E-001,+4.38450427897E-001,+3.45670682525E-001,+4.38461451565E-001,-6.00203815937E-001,+4.86891557269E-001,
12.9e6,caps hf ps1 1 48 0 48,-6.04492365573E-001,+5.04309069855E-001,+3.48943253126E-001,+4.35692990142E-001,+3.48420184826E-001,+4.36638228660E-001,-5.94389632291E-001,+4.94832389205E-001,
12.9e6,caps hf ps1 1 48 0 63,-6.07304462961E-001,+5.01155082928E-001,+3.56542372701E-001,+4.28849171926E-001,+3.57187153839E-001,+4.29326968578E-001,-5.71293452054E-001,+5.22323313013E-001,
12.9e6,caps hf ps1 1 48 1 0,-6.07844166370E-001,+5.00999982780E-001,+3.59494003230E-001,+4.26229997990E-001,+3.59838467903E-001,+4.26417773209E-001,-5.63263392660E-001,+5.30850551320E-001,
12.9e6,caps hf ps1 1 48 1 15,-6.10934340772E-001,+4.98851330310E-001,+3.67076628931E-001,+4.18534809551E-001,+3.67400784643E-001,+4.18880486545E-001,-5.39742531194E-001,+5.55939904498E-001,
12.9e6,caps hf ps1 1 48 1 16,-6.11373747637E-001,+4.98149329380E-001,+3.69739799527E-001,+4.15780679615E-001,+3.69115425381E-001,+4.16600207583E-001,-5.32503144868E-001,+5.62604807948E-001,
12.9e6,caps hf ps1 1 48 1 31,-6.14554944523E-001,+4.95787126843E-001,+3.76197222124E-001,+4.08563056173E-001,+3.76327180667E-001,+4.08991145255E-001,-5.09176539452E-001,+5.85668254378E-001,
12.9e6,caps hf ps1 1 48 1 32,-6.14826106871E-001,+4.94517133513E-001,+3.79376579082E-001,+4.04106215405E-001,+3.79390882213E-001,+4.04811061030E-001,-4.96615967624E-001,+5.96407742115E-001,
12.9e6,caps hf ps1 1 48 1 47,-6.18257488832E-001,+4.93815325925E-001,+3.86627343824E-001,+3.96782642988E-001,+3.85687140512E-001,+3.96574959777E-001,-4.72181814051E-001,+6.16541629580E-001,
12.9e6,caps hf ps1 1 48 1 48,-6.18390815044E-001,+4.92698032573E-001,+3.87524944425E-001,+3.93961211283E-001,+3.87140430709E-001,+3.94869671261E-001,-4.65497614755E-001,+6.22596793145E-001,
12.9e6,caps hf ps1 1 48 1 63,-6.21271523674E-001,+4.91220617820E-001,+3.93235562764E-001,+3.86110412485E-001,+3.93549657024E-001,+3.87136996861E-001,-4.41587891338E-001,+6.41996481063E-001,
12.9e6,caps hf ps1 1 48 2 0,-6.22457517978E-001,+4.90528803926E-001,+3.95613693868E-001,+3.83367562355E-001,+3.95805871344E-001,+3.83818722119E-001,-4.31691165674E-001,+6.49303396735E-001,
12.9e6,caps hf ps1 1 48 2 15,-6.24590915487E-001,+4.89122322365E-001,+4.00479758876E-001,+3.75122068735E-001,+4.00666411224E-001,+3.76305459934E-001,-4.07993381021E-001,+6.66213490035E-001,
12.9e6,caps hf ps1 1 48 2 16,-6.26347912800E-001,+4.88561461016E-001,+4.02433800486E-001,+3.73723712850E-001,+4.02651569744E-001,+3.73878656154E-001,-4.00643704199E-001,+6.71030455620E-001,
12.9e6,caps hf ps1 1 48 2 31,-6.28031340791E-001,+4.86998658219E-001,+4.05824880889E-001,+3.65774261398E-001,+4.07033238966E-001,+3.66172142569E-001,-3.77701074137E-001,+6.85899442796E-001,
12.9e6,caps hf ps1 1 48 2 32,-6.29159134928E-001,+4.86807041737E-001,+4.08348915127E-001,+3.61673435225E-001,+4.08877466995E-001,+3.62488753927E-001,-3.65294188403E-001,+6.93464906069E-001,
12.9e6,caps hf ps1 1 48 2 47,-6.31994278536E-001,+4.85151007895E-001,+4.12810492782E-001,+3.54515490250E-001,+4.13024231595E-001,+3.55042267010E-001,-3.41998354777E-001,+7.05930338999E-001,
12.9e6,caps hf ps1 1 48 2 48,-6.33215471854E-001,+4.85029630679E-001,+4.13706316755E-001,+3.52786651588E-001,+4.14099679469E-001,+3.52688325230E-001,-3.35213818699E-001,+7.10609984307E-001,
12.9e6,caps hf ps1 1 48 2 63,-6.35044273932E-001,+4.85337853322E-001,+4.17405897055E-001,+3.45423440441E-001,+4.17229272774E-001,+3.45161976167E-001,-3.13325631145E-001,+7.21233348959E-001,
12.9e6,caps hf ps1 1 48 3 0,-6.36078463181E-001,+4.84397498432E-001,+4.18602579067E-001,+3.42419919635E-001,+4.18644945852E-001,+3.42836421577E-001,-3.05294197204E-001,+7.25460578831E-001,
12.9e6,caps hf ps1 1 48 3 15,-6.38484348759E-001,+4.83493791007E-001,+4.21792187857E-001,+3.35547578389E-001,+4.21682514593E-001,+3.36195992577E-001,-2.83141218687E-001,+7.36480455232E-001,
12.9e6,caps hf ps1 1 48 3 16,-6.38752108689E-001,+4.82549336907E-001,+4.22304147237E-001,+3.33115554993E-001,+4.22963358383E-001,+3.33368621044E-001,-2.75869422968E-001,+7.39814670295E-001,
12.9e6,caps hf ps1 1 48 3 31,-6.40476536195E-001,+4.82539568961E-001,+4.25067994424E-001,+3.25647749245E-001,+4.25470911611E-001,+3.27153411077E-001,-2.55449809980E-001,+7.48981590945E-001,
12.9e6,caps hf ps1 1 48 3 32,-6.42386891522E-001,+4.82241789519E-001,+4.26822249102E-001,+3.22987717994E-001,+4.26841553492E-001,+3.23157567587E-001,-2.44155157898E-001,+7.53206255134E-001,
12.9e6,caps hf ps1 1 48 3 47,-6.43965219824E-001,+4.81914219722E-001,+4.28956052752E-001,+3.16081255514E-001,+4.28386716402E-001,+3.16082180364E-001,-2.23030054458E-001,+7.60543798371E-001,
12.9e6,caps hf ps1 1 48 3 48,-6.44201782878E-001,+4.81376210154E-001,+4.29066426046E-001,+3.14348416032E-001,+4.29659452261E-001,+3.14810944171E-001,-2.17485542486E-001,+7.63764608487E-001,
12.9e6,caps hf ps1 1 48 3 63,-6.46710367174E-001,+4.80577194703E-001,+4.31182963630E-001,+3.08068519216E-001,+4.31255410753E-001,+3.08194471349E-001,-1.97537538100E-001,+7.70370871551E-001,
12.9e6,caps hf ps1 1 48 4 0,-6.48078070729E-001,+4.80950790369E-001,+4.32082860675E-001,+3.07904893437E-001,+4.32057357174E-001,+3.07931503290E-001,-1.95584138834E-001,+7.71371593117E-001,
12.9e6,caps hf ps1 1 48 4 15,-6.49984435561E-001,+4.80021462075E-001,+4.33970390690E-001,+3.01635972264E-001,+4.34064691698E-001,+3.01968910189E-001,-1.76892088858E-001,+7.78111653957E-001,
12.9e6,caps hf ps1 1 48 4 16,-6.50088247746E-001,+4.81054730232E-001,+4.34394087822E-001,+2.99261587391E-001,+4.34586678355E-001,+2.99918711766E-001,-1.70636825979E-001,+7.79216593351E-001,
12.9e6,caps hf ps1 1 48 4 31,-6.51732171166E-001,+4.79717178640E-001,+4.35288861878E-001,+2.93569679419E-001,+4.35511119542E-001,+2.94025551471E-001,-1.51963472669E-001,+7.84574877517E-001,
12.9e6,caps hf ps1 1 48 4 32,-6.52331697440E-001,+4.79959927023E-001,+4.36519468332E-001,+2.90636270497E-001,+4.36101220807E-001,+2.90389636302E-001,-1.41679490444E-001,+7.86907035405E-001,
12.9e6,caps hf ps1 1 48 4 47,-6.53884498664E-001,+4.80308019028E-001,+4.37692538009E-001,+2.84190229519E-001,+4.38307068362E-001,+2.84441636043E-001,-1.23395862972E-001,+7.92579419516E-001,
12.9e6,caps hf ps1 1 48 4 48,-6.55699963211E-001,+4.78413940541E-001,+4.38240417277E-001,+2.83573564450E-001,+4.37804892874E-001,+2.83176625817E-001,-1.18791115786E-001,+7.93241155977E-001,
12.9e6,caps hf ps1 1 48 4 63,-6.56932151220E-001,+4.79052210448E-001,+4.38935921582E-001,+2.77196965306E-001,+4.39254910308E-001,+2.77732507993E-001,-1.01495646449E-001,+7.97715524877E-001,
12.9e6,caps hf ps1 1 48 5 0,-6.56862464040E-001,+4.79072106677E-001,+4.38998834263E-001,+2.76123842518E-001,+4.39705011316E-001,+2.76624078914E-001,-9.82943509006E-002,+7.98344896308E-001,
12.9e6,caps hf ps1 1 48 5 15,-6.58951992859E-001,+4.78711176205E-001,+4.39614882972E-001,+2.71238722813E-001,+4.40525530427E-001,+2.70903422751E-001,-8.12440794113E-002,+8.02270161687E-001,
12.9e6,caps hf ps1 1 48 5 16,-6.59223074847E-001,+4.78705773771E-001,+4.40172497679E-001,+2.69293385791E-001,+4.41067034199E-001,+2.69687562964E-001,-7.66103943095E-002,+8.02909694838E-001,
12.9e6,caps hf ps1 1 48 5 31,-6.60538924369E-001,+4.78833067892E-001,+4.41359348497E-001,+2.64054732138E-001,+4.41084561734E-001,+2.64120695196E-001,-6.01613552386E-002,+8.05118030272E-001,
12.9e6,caps hf ps1 1 48 5 32,-6.61767126883E-001,+4.78151793014E-001,+4.41599899861E-001,+2.62093760858E-001,+4.41890131662E-001,+2.61682470849E-001,-5.22371462520E-002,+8.06895685824E-001,
12.9e6,caps hf ps1 1 48 5 47,-6.63489462601E-001,+4.78606061252E-001,+4.42335600236E-001,+2.56887670827E-001,+4.42457878563E-001,+2.56827216289E-001,-3.63081003687E-002,+8.09470250478E-001,
12.9e6,caps hf ps1 1 48 5 48,-6.63680586946E-001,+4.78694175757E-001,+4.42000890896E-001,+2.55063701348E-001,+4.42218764997E-001,+2.55712711472E-001,-3.21762931059E-002,+8.09601627847E-001,
12.9e6,caps hf ps1 1 48 5 63,-6.65061458756E-001,+4.78413971814E-001,+4.42436658003E-001,+2.50707602897E-001,+4.42653182658E-001,+2.50714891477E-001,-1.68037029661E-002,+8.11311142787E-001,
12.9e6,caps hf ps1 1 48 6 0,-6.65804161759E-001,+4.78474337437E-001,+4.43062922591E-001,+2.51156531784E-001,+4.42766338004E-001,+2.51167113881E-001,-1.92346529184E-002,+8.11866946145E-001,
12.9e6,caps hf ps1 1 48 6 15,-6.67141719127E-001,+4.78187936255E-001,+4.43126919351E-001,+2.46792186043E-001,+4.43040380167E-001,+2.46027558741E-001,-3.14661425124E-003,+8.12997984339E-001,
12.9e6,caps hf ps1 1 48 6 16,-6.67606989076E-001,+4.78261878588E-001,+4.43255294610E-001,+2.44623798913E-001,+4.42853473309E-001,+2.45070308233E-001,+8.00842344003E-004,+8.13305410775E-001,
12.9e6,caps hf ps1 1 48 6 31,-6.68965424605E-001,+4.78705772725E-001,+4.42947924080E-001,+2.40725605232E-001,+4.43984897177E-001,+2.40157006744E-001,+1.53392981926E-002,+8.14890355337E-001,
12.9e6,caps hf ps1 1 48 6 32,-6.68752619503E-001,+4.78132583835E-001,+4.43479313941E-001,+2.38704885721E-001,+4.43532292304E-001,+2.38468940523E-001,+2.13133783911E-002,+8.15552306114E-001,
12.9e6,caps hf ps1 1 48 6 47,-6.70300989297E-001,+4.78232522531E-001,+4.43338326763E-001,+2.34166591683E-001,+4.43548102736E-001,+2.34054324324E-001,+3.54774434451E-002,+8.15993442329E-001,
12.9e6,caps hf ps1 1 48 6 48,-6.71224675764E-001,+4.78091963041E-001,+4.44444656659E-001,+2.32918954304E-001,+4.43745170834E-001,+2.33048185887E-001,+3.84167322593E-002,+8.16198771426E-001,
12.9e6,caps hf ps1 1 48 6 63,-6.72357077777E-001,+4.78145280581E-001,+4.43424427648E-001,+2.28649077026E-001,+4.44201449406E-001,+2.28499937468E-001,+5.22327354433E-002,+8.17668062087E-001,
12.9e6,caps hf ps1 1 63 0 0,-5.90743027744E-001,+5.47388825672E-001,+3.07875959080E-001,+4.35141528809E-001,+3.07480417201E-001,+4.35768363253E-001,-6.86275952750E-001,+3.93013918158E-001,
12.9e6,caps hf ps1 1 63 0 15,-5.93235958626E-001,+5.44498725534E-001,+3.18103690135E-001,+4.27911480478E-001,+3.17959671553E-001,+4.28219185917E-001,-6.63380528887E-001,+4.29742127159E-001,
12.9e6,caps hf ps1 1 63 0 16,-5.93925349112E-001,+5.42866132696E-001,+3.20943067115E-001,+4.26171754578E-001,+3.20415204299E-001,+4.26355923897E-001,-6.57168536695E-001,+4.38870036222E-001,
12.9e6,caps hf ps1 1 63 0 31,-5.95823380990E-001,+5.41162877728E-001,+3.29954736476E-001,+4.17965514522E-001,+3.30644080588E-001,+4.19647943315E-001,-6.34479006987E-001,+4.72589573320E-001,
12.9e6,caps hf ps1 1 63 0 32,-5.97572653695E-001,+5.40068436444E-001,+3.34923995109E-001,+4.15185309216E-001,+3.34820389872E-001,+4.15831123046E-001,-6.22885398502E-001,+4.87988856983E-001,
12.9e6,caps hf ps1 1 63 0 47,-5.99549072614E-001,+5.36725175092E-001,+3.42474931967E-001,+4.07442368298E-001,+3.42983530145E-001,+4.07675531955E-001,-5.97705111192E-001,+5.17326531930E-001,
12.9e6,caps hf ps1 1 63 0 48,-6.01117795906E-001,+5.36281601185E-001,+3.45647379722E-001,+4.04843397778E-001,+3.45772895048E-001,+4.05519101858E-001,-5.91154827055E-001,+5.25836937593E-001,
12.9e6,caps hf ps1 1 63 0 63,-6.03154714196E-001,+5.34511620062E-001,+3.53035639191E-001,+3.97138626539E-001,+3.53183618197E-001,+3.98254451820E-001,-5.66720683674E-001,+5.52744614182E-001,
12.9e6,caps hf ps1 1 63 1 0,-6.04012815751E-001,+5.33315727233E-001,+3.55606034653E-001,+3.95140630441E-001,+3.55671742623E-001,+3.95751715255E-001,-5.59674433405E-001,+5.60589106781E-001,
12.9e6,caps hf ps1 1 63 1 15,-6.06118808662E-001,+5.32373539785E-001,+3.62863300230E-001,+3.86587095680E-001,+3.63236916100E-001,+3.87922190481E-001,-5.35168832431E-001,+5.86616483971E-001,
12.9e6,caps hf ps1 1 63 1 16,-6.07250513349E-001,+5.30474842347E-001,+3.64210435456E-001,+3.84462904859E-001,+3.64886888527E-001,+3.85341298427E-001,-5.27046748876E-001,+5.93334527366E-001,
12.9e6,caps hf ps1 1 63 1 31,-6.09563059763E-001,+5.29354966610E-001,+3.71122098436E-001,+3.77057511799E-001,+3.71179179029E-001,+3.77794355873E-001,-5.02291029566E-001,+6.15127431138E-001,
12.9e6,caps hf ps1 1 63 1 32,-6.11213039896E-001,+5.28532253680E-001,+3.73981643873E-001,+3.73367902464E-001,+3.74256855439E-001,+3.73082164011E-001,-4.88728389595E-001,+6.26879906298E-001,
12.9e6,caps hf ps1 1 63 1 47,-6.13983742200E-001,+5.27362886609E-001,+3.79489778347E-001,+3.65268898191E-001,+3.80024762962E-001,+3.65763143842E-001,-4.63872395163E-001,+6.46733660063E-001,
12.9e6,caps hf ps1 1 63 1 48,-6.14167340135E-001,+5.26594447914E-001,+3.81185360748E-001,+3.62683174725E-001,+3.81297131116E-001,+3.63578853657E-001,-4.56957481547E-001,+6.51846471243E-001,
12.9e6,caps hf ps1 1 63 1 63,-6.15672481047E-001,+5.25695434943E-001,+3.86464992635E-001,+3.54760592679E-001,+3.86204279635E-001,+3.55932552884E-001,-4.32112306174E-001,+6.69750841374E-001,
12.9e6,caps hf ps1 1 63 2 0,-6.18476121051E-001,+5.25108541687E-001,+3.88356661604E-001,+3.52007276061E-001,+3.88092624094E-001,+3.52076511117E-001,-4.20970419390E-001,+6.78019997998E-001,
12.9e6,caps hf ps1 1 63 2 15,-6.20002621367E-001,+5.23369700422E-001,+3.92672724647E-001,+3.44238884175E-001,+3.92967164074E-001,+3.44997238853E-001,-3.96818351682E-001,+6.93568661124E-001,
12.9e6,caps hf ps1 1 63 2 16,-6.21334479263E-001,+5.23633653688E-001,+3.94117723181E-001,+3.42164513441E-001,+3.94457049861E-001,+3.42674669781E-001,-3.89928696029E-001,+6.98340084425E-001,
12.9e6,caps hf ps1 1 63 2 31,-6.22949675520E-001,+5.22448567548E-001,+3.97781858663E-001,+3.34878065774E-001,+3.98142972727E-001,+3.35133682985E-001,-3.65096275577E-001,+7.12659967024E-001,
12.9e6,caps hf ps1 1 63 2 32,-6.24106674469E-001,+5.22489037574E-001,+4.00040649968E-001,+3.30557979714E-001,+3.99833677892E-001,+3.31002053362E-001,-3.52630322599E-001,+7.19677774407E-001,
12.9e6,caps hf ps1 1 63 2 47,-6.27161643011E-001,+5.20943064103E-001,+4.02941309771E-001,+3.24090923427E-001,+4.02499547324E-001,+3.23867746764E-001,-3.29122132802E-001,+7.31227242597E-001,
12.9e6,caps hf ps1 1 63 2 48,-6.28026084049E-001,+5.21361577766E-001,+4.04344981068E-001,+3.21593339388E-001,+4.04220117250E-001,+3.21810212281E-001,-3.21487313118E-001,+7.35486655053E-001,
12.9e6,caps hf ps1 1 63 2 63,-6.29580229086E-001,+5.20777656373E-001,+4.07421516884E-001,+3.14572029075E-001,+4.07164564999E-001,+3.14803140641E-001,-2.99143240028E-001,+7.46607745657E-001,
12.9e6,caps hf ps1 1 63 3 0,-6.30020545447E-001,+5.20335363948E-001,+4.08368307654E-001,+3.11646228565E-001,+4.08400109354E-001,+3.12279731070E-001,-2.91236988496E-001,+7.51109714115E-001,
12.9e6,caps hf ps1 1 63 3 15,-6.31973281288E-001,+5.19375082700E-001,+4.10820271608E-001,+3.04712288151E-001,+4.10978723059E-001,+3.04936808408E-001,-2.68196497337E-001,+7.60509584283E-001,
12.9e6,caps hf ps1 1 63 3 16,-6.32691746697E-001,+5.19334968626E-001,+4.11864056737E-001,+3.03005062112E-001,+4.11362648514E-001,+3.02860351285E-001,-2.61193571470E-001,+7.63255418242E-001,
12.9e6,caps hf ps1 1 63 3 31,-6.34939790953E-001,+5.18739939786E-001,+4.13620742614E-001,+2.96360019762E-001,+4.14052479219E-001,+2.96275230053E-001,-2.38985752255E-001,+7.72203056346E-001,
12.9e6,caps hf ps1 1 63 3 32,-6.35848169954E-001,+5.18547876295E-001,+4.15179136674E-001,+2.93057466797E-001,+4.15212778488E-001,+2.93116440284E-001,-2.28543884373E-001,+7.76510426157E-001,
12.9e6,caps hf ps1 1 63 3 47,-6.37226766280E-001,+5.18301238326E-001,+4.16851799214E-001,+2.85820671433E-001,+4.16774783377E-001,+2.86324646712E-001,-2.07608910514E-001,+7.83388605110E-001,
